,case_id3,cell_type,Diagnosis_TCGA_HCMI_Code,umap1,umap2
HCM-BROD-0001-C18-85M,HCM-BROD-0001-C18,HCMI Model,READ,-5.845162425,-2.734559606
HCM-BROD-0002-C71-85A,HCM-BROD-0002-C71,HCMI Model,GBM,1.065666166,0.631373693
HCM-BROD-0003-C71-85B,HCM-BROD-0003-C71,HCMI Model,GBM,1.125340965,0.633399714
HCM-BROD-0004-C64-85R,HCM-BROD-0004-C64,HCMI Model,WT,1.281006005,7.750379015
HCM-BROD-0007-C49-85B,HCM-BROD-0007-C49,HCMI Model,SARC,-3.964494738,6.74645846
HCM-BROD-0008-C25-85A,HCM-BROD-0008-C25,HCMI Model,PAAD,-2.926064524,-3.061590504
HCM-BROD-0009-C25-85A,HCM-BROD-0009-C25,HCMI Model,PAAD,-2.760902915,-2.765075754
HCM-BROD-0010-C25-85A,HCM-BROD-0010-C25,HCMI Model,PAAD,-2.954799447,-3.077097248
HCM-BROD-0011-C71-85A,HCM-BROD-0011-C71,HCMI Model,GBM,1.658112612,-9.208097051
HCM-BROD-0012-C71-85A,HCM-BROD-0012-C71,HCMI Model,GBM,1.433905091,-9.047007154
HCM-BROD-0013-C71-85A,HCM-BROD-0013-C71,HCMI Model,GBM,1.3497664,-9.029159139
HCM-BROD-0014-C71-85B,HCM-BROD-0014-C71,HCMI Model,GBM,1.471756664,-9.175643514
HCM-BROD-0015-C25-85C,HCM-BROD-0015-C25,HCMI Model,PAAD,-6.192582164,1.083992053
HCM-BROD-0016-C25-85A,HCM-BROD-0016-C25,HCMI Model,PAAD,-2.930218253,-3.003421615
HCM-BROD-0019-C25-85A,HCM-BROD-0019-C25,HCMI Model,PAAD,-2.833891425,-2.955688309
HCM-BROD-0020-C15-85A,HCM-BROD-0020-C15,HCMI Model,ESCA,-2.805290494,-2.792963337
HCM-BROD-0025-C16-85A,HCM-BROD-0025-C16,HCMI Model,STAD,-2.307732615,-2.464181017
