,case_id3,cancer_type,cell_type,Diagnosis_TCGA_HCMI_Code,CCLE_Disease,umap1,umap2
TCGA-19-1787-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.261220899,-9.910667967
TCGA-F4-6854-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.143769297,-3.640988659
TCGA-HU-8243-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.814543757,-2.09134252
TCGA-EE-A17X-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.037219968,3.701516796
TCGA-05-4420-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,0.011884567,-3.079869818
TCGA-DX-A3U8-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,-3.769572768,6.601433684
TCGA-CC-A3MA-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.217878949,3.440584351
TCGA-IN-7808-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.368680987,-3.279570888
TCGA-CC-A9FW-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.383307418,3.536965777
TCGA-RP-A695-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,6.126868215,3.7389354
TCGA-AX-A3G6-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.475939241,6.569035937
TCGA-PC-A5DM-01,,Sarcoma,TCGA Tumor,SARC,Sarcoma,1.918316212,1.568621803
TCGA-BR-A4QL-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.414312873,-3.473529171
TCGA-A2-A3XX-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.062575128,-1.655888866
TCGA-DQ-5624-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.542038951,0.500918258
TCGA-06-5412-01,,Glioblastoma,TCGA Tumor,GBM,Brain Cancer,1.300691095,-9.031351637
TCGA-BP-4989-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.214151826,-5.809781145
TCGA-24-1426-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.315920201,7.880011488
TCGA-CZ-5459-01,,Kidney Cancer,TCGA Tumor,KIRC,Kidney Cancer,6.190415349,-5.981685709
TCGA-44-6778-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-1.245350036,-0.775977205
TCGA-KP-A3W3-01,,Endometrial/Uterine Cancer,TCGA Tumor,UCEC,Endometrial/Uterine Cancer,1.417651739,6.570926596
TCGA-IQ-A61O-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,0.166508314,1.280278493
TCGA-BH-A18K-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.305699077,-1.360991668
TCGA-DD-AAW0-01,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,0.915842679,3.888098646
TARGET-50-PAJMSE-01,,Kidney Cancer,TCGA Tumor,WT,Kidney Cancer,-4.637149367,7.772781302
TCGA-AA-3511-01,,Colorectal Cancer,TCGA Tumor,COAD,Colon/Colorectal Cancer,-6.10632566,-3.668485235
TCGA-Z7-A8R5-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,1.090336111,-1.366165708
TCGA-39-5031-01,,Lung Cancer,TCGA Tumor,LUSC,Lung Cancer,-5.73877624,2.161369969
TCGA-DJ-A3UX-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.07756087,-0.102106567
TCGA-C8-A1HL-01,,Breast Cancer,TCGA Tumor,BRCA,Breast Cancer,4.955391374,-1.28582878
TCGA-EI-6512-01,,Colorectal Cancer,TCGA Tumor,READ,Colon/Colorectal Cancer,-5.679698024,-3.632826637
TCGA-DK-A1AA-01,,Bladder Cancer,TCGA Tumor,BLCA,Bladder Cancer,-3.697227034,0.136453946
TCGA-2H-A9GF-01,,Esophageal Cancer,TCGA Tumor,ESCA,Esophageal Cancer,4.891693559,-1.476798247
TCGA-HZ-7922-01,,Pancreatic Cancer,TCGA Tumor,PAAD,Pancreatic Cancer,-2.869648728,-2.527726959
TCGA-DD-AACA-02,,Liver Cancer,TCGA Tumor,LIHC,Liver Cancer,1.297089246,3.871815373
TCGA-BJ-A192-01,,Thyroid Cancer,TCGA Tumor,THCA,Thyroid Cancer,11.50236556,0.86397915
TCGA-D3-A8GD-06,,Skin Cancer,TCGA Tumor,SKCM,Skin Cancer,5.672334161,3.591467549
TCGA-13-1485-01,,Ovarian Cancer,TCGA Tumor,OV,Ovarian Cancer,1.895871129,8.170824457
TCGA-BR-8372-01,,Gastric Cancer,TCGA Tumor,STAD,Gastric Cancer,-4.424142871,-3.553220104
TCGA-64-1679-01,,Lung Cancer,TCGA Tumor,LUAD,Lung Cancer,-0.376445029,-2.861543011
TCGA-CV-5976-01,,Head and Neck Cancer,TCGA Tumor,HNSC,Head and Neck Cancer,-6.601817164,0.592651952
