id3	sample_id	sample_type	purity_ascat	purity_absolute	purity_remixt	purity_purple	purity_estimate	purity_hatchet	ploidy_ascat	ploidy_absolute	ploidy_remixt	ploidy_purple	ploidy_hatchet
HCM-BROD-0053-C49	HCM-BROD-0053-C49-06A	T	0.37	0.52	defer	0.08	0.41	0.0467918	2	2.01	defer	2	1.975979609
HCM-CSHL-0907-C50	HCM-CSHL-0907-C50-06A	T	1	0.1	0.156476072	0.22	0.36	0.0937127	2.05	2.48	1.808887483	3.5	2.789097225
HCM-SANG-0287-C20	HCM-SANG-0287-C20-01A	T	0.3	0.32	defer	0.08	0.84	0.18805	1.8	1.99	defer	2	2.015000661
HCM-BROD-0045-C16	HCM-BROD-0045-C16-06A	T	0.44	0.4	defer	0.08	NA	0.0432049	1.85	2.02	defer	2	1.367223418
HCM-BROD-0110-C25	HCM-BROD-0110-C25-01A	T	0.36	0.46	defer	0.08	0.46	0.114146	2	2	defer	2	2.000967247
HCM-BROD-0489-C15	HCM-BROD-0489-C15-06A	T	0.36	0.46	defer	0.08	0.31	0.0360272	1.85	2	defer	2	1.962321861
HCM-CSHL-0093-C25	HCM-CSHL-0093-C25-01B	T	0.33	0.46	defer	0.08	NA	1	2	2	defer	2	2
HCM-BROD-0019-C25	HCM-BROD-0019-C25-01B	T	0.4	0.11	defer	0.27	0.42	0.116468	1.96	1.89	defer	1.88	2.345915722
HCM-BROD-0578-C15	HCM-BROD-0578-C15-06A	T	1	0.1	defer	0.4	0.43	0.0748445	1.95	4.09	defer	2	2.05254058
HCM-CSHL-0191-C25	HCM-CSHL-0191-C25-01A	T	0.37	0.11	defer	0.08	0.67	0.03	1.85	4.35	defer	2	1.648556367
HCM-BROD-0869-C43	HCM-BROD-0869-C43-06A	T	0.71	0.16	0.483864278	0.2	0.54	0.0485683	1.9	3.9	2.147780688	2.2	3.550679971
HCM-CSHL-0082-C25	HCM-CSHL-0082-C25-01A	T	0.46	0.78	defer	0.08	0.53	0.0333268	1.85	2	defer	2	2.078380062
