cancer_type,gene,event,note,count
COAD,APC,truncating,both,67
PAAD,KRAS,missense,both,44
COAD,TP53,missense,both,34
GBM,TERT,promoter,both,31
COAD,KRAS,missense,both,28
PAAD,TP53,missense,both,28
READ,APC,truncating,both,28
COAD,TP53,truncating,both,26
GBM,CDKN2A,homdel,both,25
ESCA,TP53,missense,both,20
SKCM,TERT,promoter,both,15
READ,TP53,missense,both,15
PAAD,TP53,truncating,both,15
COAD,PIK3CA,missense,both,14
COAD,MYC,hlamp,both,14
GBM,PTEN,missense,both,14
GBM,EGFR,hlamp,both,14
GBM,TP53,missense,both,13
READ,KRAS,missense,both,13
PAAD,CDKN2A,homdel,both,13
PAAD,CDKN2A,truncating,both,12
GBM,PTEN,truncating,both,10
COAD,TERT,promoter,both,10
COAD,DMD,missense,both,9
ESCA,TP53,truncating,both,9
COAD,SMAD4,missense,both,8
READ,FBXW7,missense,both,8
SKCM,CDKN2A,homdel,both,8
COAD,MYC,hlamp,tumor-only,8
COAD,SOX9,truncating,both,8
COAD,SPTA1,missense,both,8
COAD,ELF3,truncating,both,7
COAD,PGR,missense,both,7
COAD,FLNA,missense,both,7
SKCM,KMT2C,missense,both,7
SKCM,SPTA1,missense,both,7
COAD,ACVR2A,truncating,both,7
PAAD,SMAD4,missense,both,7
ESCA,ARID1A,truncating,both,7
COAD,SMARCA4,missense,both,7
READ,PIK3CA,missense,both,7
COAD,AMER1,truncating,both,7
READ,TP53,truncating,both,7
SKCM,COL5A1,missense,both,6
COAD,FGFR1,hlamp,both,6
PAAD,ARID1A,truncating,both,6
GBM,EGFR,hlamp,model-only,6
COAD,EPHA2,missense,both,6
ESCA,KRAS,hlamp,both,6
COAD,TCF7L2,truncating,both,6
COAD,ARID1A,truncating,both,6
COAD,MYH9,missense,both,6
ESCA,EGFR,hlamp,tumor-only,6
SKCM,NRAS,missense,both,6
BLCA,TERT,promoter,both,6
SKCM,ERBB4,missense,both,6
READ,SMAD4,missense,both,6
ESCA,SPTA1,missense,both,6
SKCM,NF1,truncating,both,6
SKCM,DMD,missense,both,5
SKCM,BRAF,hlamp,both,5
STAD,TP53,truncating,both,5
SKCM,ALB,missense,both,5
SKCM,BRAF,missense,both,5
READ,TP53,missense,model-only,5
PAAD,CDKN2A,homdel,tumor-only,5
PAAD,GATA6,hlamp,both,5
PAAD,CDKN2A,homdel,model-only,5
LUAD,KRAS,missense,both,5
GBM,TP53,truncating,both,5
LUAD,TP53,missense,both,5
GBM,RB1,truncating,both,5
GBM,NF1,truncating,both,5
COAD,KMT2A,missense,both,5
UCEC,PIK3CA,missense,both,5
COAD,NOTCH1,missense,both,5
TVA,APC,truncating,both,5
SKCM,TP53,missense,both,5
SKCM,TP53,truncating,both,5
PAAD,MYC,hlamp,tumor-only,5
PAAD,MYC,hlamp,both,5
COAD,ZFP36L2,truncating,both,5
SKCM,PTPRD,missense,both,5
SKCM,KMT2D,missense,both,5
ESCA,TLR4,missense,both,5
READ,BRAF,missense,both,5
SKCM,TLR4,missense,both,5
ESCA,CDK6,hlamp,both,5
COAD,ATM,missense,both,5
COAD,FBXW7,missense,both,5
READ,TCF7L2,truncating,both,5
COAD,CREBBP,missense,both,5
COAD,CHD3,missense,both,5
COAD,RNF43,truncating,both,5
SKCM,IL7R,missense,both,5
COAD,GNAS,missense,both,5
