gene,both,model-only,tumor-only,total,cancer_type
KRAS,2.0,0.0,1.0,3.0,AMPV
GNAS,1.0,1.0,1.0,3.0,AMPV
CTNND1,2.0,0.0,0.0,2.0,AMPV
CTNNB1,2.0,0.0,0.0,2.0,AMPV
INPPL1,2.0,0.0,0.0,2.0,AMPV
PTEN,2.0,0.0,0.0,2.0,AMPV
CDKN2A,2.0,0.0,0.0,2.0,AMPV
DMD,2.0,0.0,0.0,2.0,AMPV
KIF1A,1.0,0.0,1.0,2.0,AMPV
SMARCA4,1.0,1.0,0.0,2.0,AMPV
EGFR,1.0,0.0,1.0,2.0,AMPV
SPTA1,2.0,0.0,0.0,2.0,AMPV
TBL1XR1,2.0,0.0,0.0,2.0,AMPV
NF1,2.0,0.0,0.0,2.0,AMPV
TERT,0.0,1.0,1.0,2.0,AMPV
KMT2C,0.0,1.0,1.0,2.0,AMPV
TP53,2.0,0.0,0.0,2.0,AMPV
ARID2,2.0,0.0,0.0,2.0,AMPV
ARID1A,2.0,0.0,0.0,2.0,AMPV
APC,2.0,0.0,0.0,2.0,AMPV
GATA6,0.0,1.0,1.0,2.0,AMPV
ZNF217,1.0,0.0,1.0,2.0,AMPV
NIPBL,1.0,0.0,0.0,1.0,AMPV
NSD1,1.0,0.0,0.0,1.0,AMPV
NCOR1,1.0,0.0,0.0,1.0,AMPV
MYH9,1.0,0.0,0.0,1.0,AMPV
MYCN,1.0,0.0,0.0,1.0,AMPV
MYC,1.0,0.0,0.0,1.0,AMPV
MUC6,1.0,0.0,0.0,1.0,AMPV
MSH6,0.0,1.0,0.0,1.0,AMPV
MDM2,0.0,0.0,1.0,1.0,AMPV
NOTCH1,1.0,0.0,0.0,1.0,AMPV
ZFHX3,1.0,0.0,0.0,1.0,AMPV
ZBTB20,1.0,0.0,0.0,1.0,AMPV
TSC1,1.0,0.0,0.0,1.0,AMPV
TRAF3,1.0,0.0,0.0,1.0,AMPV
TLR4,1.0,0.0,0.0,1.0,AMPV
TGFBR2,1.0,0.0,0.0,1.0,AMPV
TBX3,0.0,1.0,0.0,1.0,AMPV
SOX9,0.0,1.0,0.0,1.0,AMPV
MGA,1.0,0.0,0.0,1.0,AMPV
RPL22,1.0,0.0,0.0,1.0,AMPV
RNF43,1.0,0.0,0.0,1.0,AMPV
RBM10,1.0,0.0,0.0,1.0,AMPV
RB1,0.0,0.0,1.0,1.0,AMPV
PTCH1,1.0,0.0,0.0,1.0,AMPV
PLXNB2,1.0,0.0,0.0,1.0,AMPV
PIK3R2,1.0,0.0,0.0,1.0,AMPV
PDS5B,1.0,0.0,0.0,1.0,AMPV
PAX5,0.0,0.0,1.0,1.0,AMPV
SETD2,0.0,1.0,0.0,1.0,AMPV
CHEK2,1.0,0.0,0.0,1.0,AMPV
CHD3,1.0,0.0,0.0,1.0,AMPV
CDK5,0.0,0.0,1.0,1.0,AMPV
CDK4,0.0,0.0,1.0,1.0,AMPV
CCNE1,0.0,0.0,1.0,1.0,AMPV
CCND2,0.0,0.0,1.0,1.0,AMPV
BRCA2,0.0,1.0,0.0,1.0,AMPV
