gene,frequency_HCMI,frequency_TCGA,cancer_type,n_HCMI,n_TCGA
APC,0.8452380952380952,0.8181818181818182,COAD,84,22
TP53,0.75,0.5909090909090909,COAD,84,22
KRAS,0.36904761904761907,0.5,COAD,84,22
MYC,0.2261904761904762,0.045454545454545456,COAD,84,22
PIK3CA,0.21428571428571427,0.22727272727272727,COAD,84,22
DMD,0.16666666666666666,0.18181818181818182,COAD,84,22
SMAD4,0.14285714285714285,0.045454545454545456,COAD,84,22
TCF7L2,0.14285714285714285,0.13636363636363635,COAD,84,22
AMER1,0.13095238095238096,0.13636363636363635,COAD,84,22
GNAS,0.13095238095238096,0.13636363636363635,COAD,84,22
SPTA1,0.11904761904761904,0.09090909090909091,COAD,84,22
EPHA2,0.11904761904761904,0.045454545454545456,COAD,84,22
FGFR1,0.11904761904761904,0.09090909090909091,COAD,84,22
KMT2D,0.11904761904761904,0.13636363636363635,COAD,84,22
ARID1A,0.11904761904761904,0.09090909090909091,COAD,84,22
CHD3,0.10714285714285714,0.045454545454545456,COAD,84,22
PGR,0.10714285714285714,0.09090909090909091,COAD,84,22
SMARCA4,0.10714285714285714,0.09090909090909091,COAD,84,22
MACF1,0.10714285714285714,0.09090909090909091,COAD,84,22
SOX9,0.10714285714285714,0.13636363636363635,COAD,84,22
CREBBP,0.10714285714285714,0.09090909090909091,COAD,84,22
ELF3,0.09523809523809523,0.045454545454545456,COAD,84,22
KMT2B,0.09523809523809523,0.18181818181818182,COAD,84,22
COL5A1,0.09523809523809523,0.22727272727272727,COAD,84,22
ACVR2A,0.08333333333333333,0.18181818181818182,COAD,84,22
FBXW7,0.08333333333333333,0.13636363636363635,COAD,84,22
NOTCH1,0.08333333333333333,0.045454545454545456,COAD,84,22
MYH9,0.08333333333333333,0.045454545454545456,COAD,84,22
ATM,0.08333333333333333,0.09090909090909091,COAD,84,22
RNF43,0.08333333333333333,0.13636363636363635,COAD,84,22
FLNA,0.08333333333333333,0.09090909090909091,COAD,84,22
CHD4,0.08333333333333333,0.13636363636363635,COAD,84,22
CHD8,0.08333333333333333,0.09090909090909091,COAD,84,22
ZFP36L2,0.08333333333333333,0.09090909090909091,COAD,84,22
NIPBL,0.08333333333333333,0.22727272727272727,COAD,84,22
ZFHX3,0.08333333333333333,0.09090909090909091,COAD,84,22
CACNA1A,0.08333333333333333,0.09090909090909091,COAD,84,22
EP300,0.07142857142857142,0.13636363636363635,COAD,84,22
KDM5C,0.07142857142857142,0.09090909090909091,COAD,84,22
ALK,0.07142857142857142,0.13636363636363635,COAD,84,22
KIF1A,0.07142857142857142,0.13636363636363635,COAD,84,22
CTNNB1,0.07142857142857142,0.09090909090909091,COAD,84,22
PIK3CB,0.07142857142857142,0.09090909090909091,COAD,84,22
MECOM,0.07142857142857142,0.13636363636363635,COAD,84,22
TAF1,0.07142857142857142,0.045454545454545456,COAD,84,22
ATRX,0.07142857142857142,0.13636363636363635,COAD,84,22
BRAF,0.07142857142857142,0.09090909090909091,COAD,84,22
EPAS1,0.05952380952380952,0.045454545454545456,COAD,84,22
SMARCB1,0.05952380952380952,0.045454545454545456,COAD,84,22
SCAF4,0.05952380952380952,0.18181818181818182,COAD,84,22
SF1,0.05952380952380952,0.09090909090909091,COAD,84,22
PTPRC,0.05952380952380952,0.13636363636363635,COAD,84,22
KMT2A,0.05952380952380952,0.09090909090909091,COAD,84,22
KMT2C,0.05952380952380952,0.09090909090909091,COAD,84,22
ZBTB7B,0.05952380952380952,0.045454545454545456,COAD,84,22
PIK3CG,0.05952380952380952,0.045454545454545456,COAD,84,22
HUWE1,0.05952380952380952,0.045454545454545456,COAD,84,22
SOX17,0.05952380952380952,0.045454545454545456,COAD,84,22
PTCH1,0.05952380952380952,0.13636363636363635,COAD,84,22
JAK2,0.05952380952380952,0.045454545454545456,COAD,84,22
HLA-A,0.05952380952380952,0.045454545454545456,COAD,84,22
NOTCH2,0.05952380952380952,0.045454545454545456,COAD,84,22
ARID2,0.05952380952380952,0.09090909090909091,COAD,84,22
ASXL1,0.05952380952380952,0.09090909090909091,COAD,84,22
BCOR,0.05952380952380952,0.09090909090909091,COAD,84,22
EZH2,0.05952380952380952,0.045454545454545456,COAD,84,22
CSDE1,0.047619047619047616,0.045454545454545456,COAD,84,22
ERBB4,0.047619047619047616,0.13636363636363635,COAD,84,22
CDK12,0.047619047619047616,0.045454545454545456,COAD,84,22
FAT1,0.047619047619047616,0.045454545454545456,COAD,84,22
HLA-B,0.047619047619047616,0.045454545454545456,COAD,84,22
KDM6A,0.047619047619047616,0.045454545454545456,COAD,84,22
CIC,0.047619047619047616,0.045454545454545456,COAD,84,22
ZMYM2,0.047619047619047616,0.045454545454545456,COAD,84,22
TSC1,0.047619047619047616,0.045454545454545456,COAD,84,22
TSC2,0.047619047619047616,0.09090909090909091,COAD,84,22
PDS5B,0.047619047619047616,0.045454545454545456,COAD,84,22
