gene,count,cancer_type
TP53,11,ACC
CTNNB1,10,ACC
TERT,9,ACC
KMT2B,5,ACC
MDM2,5,ACC
APOB,4,ACC
CCNE1,4,ACC
CDK4,4,ACC
CDKN2A,4,ACC
EGFR,4,ACC
GNAS,4,ACC
KMT2D,4,ACC
MEN1,4,ACC
NF1,4,ACC
PRKAR1A,4,ACC
APC,3,ACC
ATM,3,ACC
BRD4,3,ACC
COL5A1,3,ACC
ERBB4,3,ACC
HUWE1,3,ACC
JAK3,3,ACC
MACF1,3,ACC
PDGFRA,3,ACC
PTPRD,3,ACC
RPL22,3,ACC
SMC3,3,ACC
SPTA1,3,ACC
TLR4,3,ACC
ALK,2,ACC
ARHGAP35,2,ACC
ATF7IP,2,ACC
ATRX,2,ACC
BRAF,2,ACC
CACNA1A,2,ACC
CARD11,2,ACC
CCND2,2,ACC
CDK6,2,ACC
CHEK2,2,ACC
EEF2,2,ACC
FAT1,2,ACC
FGF1,2,ACC
FGFR3,2,ACC
FLNA,2,ACC
KANSL1,2,ACC
KEL,2,ACC
MAP3K1,2,ACC
MCL1,2,ACC
MGMT,2,ACC
MLH1,2,ACC
MSH2,2,ACC
NSD1,2,ACC
PLCG1,2,ACC
PLXNB2,2,ACC
PTCH1,2,ACC
RB1,2,ACC
RET,2,ACC
SCAF4,2,ACC
SETBP1,2,ACC
SF3B1,2,ACC
STK11,2,ACC
TGFBR2,2,ACC
USP9X,2,ACC
XPO1,2,ACC
ACVR1,1,ACC
AJUBA,1,ACC
ARID2,1,ACC
ASXL2,1,ACC
ATR,1,ACC
BAP1,1,ACC
BCOR,1,ACC
BRCA2,1,ACC
BRD7,1,ACC
BTG2,1,ACC
CCND1,1,ACC
CD274,1,ACC
CDH1,1,ACC
CDK5,1,ACC
CHD3,1,ACC
CIC,1,ACC
CNBD1,1,ACC
CREB3L3,1,ACC
CUL3,1,ACC
DACH1,1,ACC
DIAPH2,1,ACC
DMD,1,ACC
EP300,1,ACC
EPHA2,1,ACC
ERBB3,1,ACC
FGFR2,1,ACC
GABRA6,1,ACC
GATA3,1,ACC
GATA6,1,ACC
GRIN2D,1,ACC
GTF2I,1,ACC
HGF,1,ACC
IGF1R,1,ACC
IL7R,1,ACC
IRF2,1,ACC
IRF6,1,ACC
JAK1,1,ACC
JAK2,1,ACC
KDM6A,1,ACC
KEAP1,1,ACC
KIF1A,1,ACC
KIT,1,ACC
KLF5,1,ACC
KMT2A,1,ACC
KMT2C,1,ACC
KRAS,1,ACC
MAPK1,1,ACC
MGA,1,ACC
MITF,1,ACC
MUC6,1,ACC
MYC,1,ACC
NIPBL,1,ACC
PDS5B,1,ACC
PIK3CA,1,ACC
PIK3R2,1,ACC
PLCB4,1,ACC
PMS1,1,ACC
PMS2,1,ACC
