case,tumor_id,tumor_n_wgd,tumor_fraction_diploid,model_id,model_type,model_n_wgd,model_fraction_diploid,cancer_type,loh_union,loh_match,loh_shared,loh_model,loh_tumor,cn_equal,cn_equal_wgd,cn_mean_sq_diff,cn_mean_sq_diff_wgd,cn_correlation,tumor_consensus_purity,tumor_consensus_ploidy,model_consensus_purity,model_consensus_ploidy,is_wgd_tumor,is_wgd_model,wgd_status
HCM-BROD-0001-C18,HCM-BROD-0001-C18-06A,1,0.05389017455106471,HCM-BROD-0001-C18-85M,model,1,0.3087024379742748,READ,0.2702043305885941,0.5277519585712389,0.872396534093967,0.1260606712950505,0.0015427946109825448,0.4333953142432131,0.4333953142432131,1.5263108962439569,1.5263108962439569,0.49220767068974147,0.94,3.28,0.978157014,2.50597992,True,True,Both WGD
HCM-BROD-0002-C71,HCM-BROD-0002-C71-01A,0,0.7469816837988627,HCM-BROD-0002-C71-85A,model,0,0.8097518970991874,GBM,0.15840553970902177,0.7544733861834655,0.9611072242254632,0.0013275209443338177,0.0375652548302029,0.916506019714109,0.916506019714109,0.08607645582511912,0.08607645582511912,0.9010917109346921,0.823632044,1.97368638,0.9075,1.91,False,False,Both diploid
HCM-BROD-0003-C71,HCM-BROD-0003-C71-01A,1,0.03347505516387708,HCM-BROD-0003-C71-85B,model,1,0.03309832624724181,GBM,0.1804172721238541,0.9906532763249478,0.9983136896112517,0.00044848680551818167,0.0012378235832301815,0.9966172826106618,0.9966172826106618,0.006078037662126228,0.006078037662126228,0.9895502795751879,0.878677167,2.889002164,0.9726405,2.861538526,True,True,Both WGD
HCM-BROD-0007-C49,HCM-BROD-0007-C49-06A,1,0.000609942055504727,HCM-BROD-0007-C49-85B,model,1,0.0006637604721669089,SARC,0.05408750874549271,0.9897180762852404,0.9994438763611575,0.00012557630554509087,0.0004305473332974544,0.9463914544435809,0.9463914544435809,0.06289876552135486,0.06289876552135486,0.8802585811386654,0.8420606,3.774314508,0.98545353,3.69007432,True,True,Both WGD
HCM-BROD-0011-C71,HCM-BROD-0011-C71-01A,0,0.804710905405163,HCM-BROD-0011-C71-85A,model,1,0.0006278815277254543,GBM,0.16418204976409595,0.6156031468531469,0.9368889367274815,0.06128123710600434,0.0018298261665141812,0.062203651557816333,0.677863566173131,2.9880279771096374,0.6808792805886094,0.8034983537191583,0.623553333,2.060509288,0.993665,3.585613113,False,True,Model WGD
HCM-BROD-0012-C71,HCM-BROD-0012-C71-01A,0,0.8087293471826059,HCM-BROD-0012-C71-85A,model,0,0.7778375760185136,GBM,0.17186014387456722,0.8093945720250522,0.967242523724952,0.0298692212475109,0.00288825502753709,0.9718789866958265,0.9718789866958265,0.028722434845999636,0.028722434845999636,0.8930678749760936,0.796921167,2.031103756,0.996,1.936666667,False,False,Both diploid
HCM-BROD-0014-C71,HCM-BROD-0014-C71-01A,0,0.7345316900776779,HCM-BROD-0014-C71-85B,model,0,0.7664460111583518,GBM,0.18170891412374648,0.8019547832954882,0.9640134187252211,0.0005023052221803635,0.03548427605259853,0.9611889950851484,0.9611889950851484,0.10749197482725475,0.10749197482725475,0.7999546674366561,0.784243167,1.937458622,0.994876833,1.960673428,False,False,Both diploid
HCM-BROD-0019-C25,HCM-BROD-0019-C25-01B,0,0.9934162136949931,HCM-BROD-0019-C25-85A,model,0,0.7771020576574638,PAAD,0.2089589724270312,0.0027472527472527475,0.7916150906840321,0.20825933301042282,0.00012557630554509087,0.8015664376235111,0.8015664376235111,0.20474282502674185,0.20474282502674185,0.153958050445565,0.11,1.89,0.991067,1.794384654,False,False,Both diploid
HCM-BROD-0025-C16,HCM-BROD-0025-C16-01A,0,0.7988985164056474,HCM-BROD-0025-C16-85A,model,0,0.7951671061837361,STAD,0.17656028559639775,0.9824222718959561,0.9968964713058142,0.0005740631110632725,0.0025294655831225444,0.9943970457150134,0.9943970457150134,0.008131560277237089,0.008131560277237089,0.976799003922229,0.5775,1.865,0.9994165,1.829166928,False,False,Both diploid
HCM-BROD-0027-C34,HCM-BROD-0027-C34-06A,1,0.005058931166245089,HCM-BROD-0027-C34-85A,model,1,0.004466928582961089,LUAD,0.13989200437723123,0.9562708386765837,0.993882639972732,0.0005381841666218179,0.00557917586064618,0.9228915662650602,0.9228915662650602,0.09408626873907845,0.09408626873907845,0.9544676311072281,0.483213008,3.860172696,0.985533667,3.837624061,True,True,Both WGD
